epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.704,1.77041,3.19985,1.9559,0.41413,0.19675,0.1526,0.05801,2.11814,3.48373,2.35469,0.000369215,0.000369215,0.000369215
2,624.832,1.75,2.67331,1.94598,0.41529,0.2408,0.15933,0.05604,2.14873,2.89591,2.40749,0.000724905,0.000724905,0.000724905
3,947.578,1.749,2.48358,1.96134,0.29294,0.36364,0.20618,0.06971,2.07819,2.64757,2.39325,0.00106593,0.00106593,0.00106593
4,1222.6,1.7414,2.36883,1.94332,0.24036,0.34896,0.19089,0.06559,2.13706,2.79475,2.39136,0.00104501,0.00104501,0.00104501
5,1506.54,1.70562,2.27368,1.90571,0.3411,0.41849,0.28648,0.10851,1.90093,2.50535,2.1114,0.00102301,0.00102301,0.00102301
6,1801.36,1.66102,2.15882,1.88107,0.3852,0.36486,0.31473,0.13354,1.87116,2.33433,2.07742,0.00100101,0.00100101,0.00100101
7,2084.67,1.64321,2.09218,1.85606,0.33505,0.35914,0.31589,0.11581,1.91771,2.23414,2.18544,0.000979013,0.000979013,0.000979013
8,2402.69,1.62088,2.03319,1.8337,0.51729,0.38317,0.39207,0.16899,1.88013,2.07715,2.06921,0.000957015,0.000957015,0.000957015
9,2720.05,1.59988,1.9685,1.82008,0.48038,0.43421,0.42177,0.18371,1.86321,2.00979,2.09368,0.000935018,0.000935018,0.000935018
10,3007.98,1.58041,1.91639,1.79992,0.44027,0.4877,0.45576,0.20012,1.75442,1.89279,1.98739,0.00091302,0.00091302,0.00091302
11,3280.27,1.56351,1.885,1.7902,0.53841,0.48045,0.4979,0.24148,1.73692,1.837,1.98877,0.000891022,0.000891022,0.000891022
12,3554.98,1.53427,1.82401,1.7741,0.46241,0.53048,0.47238,0.22145,1.79534,1.81147,2.04341,0.000869024,0.000869024,0.000869024
13,3872.81,1.53266,1.79361,1.765,0.52759,0.47811,0.49601,0.23242,1.72785,1.84557,1.9632,0.000847026,0.000847026,0.000847026
14,4190.41,1.50908,1.71849,1.73527,0.465,0.58254,0.54813,0.23833,1.78141,1.71877,1.98942,0.000825029,0.000825029,0.000825029
15,4503.15,1.50825,1.70447,1.73288,0.61888,0.54132,0.51315,0.24887,1.71659,1.76044,1.95123,0.000803031,0.000803031,0.000803031
16,4818.08,1.49639,1.66566,1.72749,0.51733,0.56064,0.54836,0.25334,1.75041,1.65781,1.96376,0.000781033,0.000781033,0.000781033
17,5084.43,1.46677,1.60818,1.7048,0.58514,0.59999,0.61899,0.29428,1.68663,1.53818,1.92285,0.000759035,0.000759035,0.000759035
18,5386.61,1.45846,1.59399,1.69737,0.5934,0.56656,0.59372,0.30351,1.70931,1.5732,1.94714,0.000737037,0.000737037,0.000737037
19,5648.19,1.44203,1.54268,1.68252,0.57359,0.58263,0.59554,0.29599,1.69808,1.49971,1.91158,0.00071504,0.00071504,0.00071504
20,5908.89,1.44112,1.52606,1.67544,0.5884,0.60421,0.6011,0.3017,1.70519,1.49328,1.91368,0.000693042,0.000693042,0.000693042
21,6171.91,1.42431,1.49184,1.65797,0.66341,0.58668,0.63955,0.32495,1.66914,1.45119,1.9032,0.000671044,0.000671044,0.000671044
22,6492.06,1.41507,1.472,1.65413,0.65649,0.61273,0.63758,0.32482,1.67349,1.43919,1.8898,0.000649046,0.000649046,0.000649046
23,6755.54,1.40276,1.43199,1.64567,0.63966,0.62733,0.63231,0.32759,1.6613,1.39936,1.87549,0.000627048,0.000627048,0.000627048
24,7065.76,1.37999,1.3851,1.61806,0.63706,0.63352,0.65623,0.34379,1.63451,1.3808,1.84106,0.000605051,0.000605051,0.000605051
25,7382.87,1.38172,1.37851,1.63256,0.60616,0.64876,0.65732,0.33223,1.63733,1.32935,1.89088,0.000583053,0.000583053,0.000583053
26,7660.86,1.36811,1.36339,1.61858,0.6846,0.66344,0.69339,0.35403,1.65166,1.28556,1.86871,0.000561055,0.000561055,0.000561055
27,7914.83,1.35541,1.31194,1.6014,0.66267,0.65992,0.67103,0.35459,1.58801,1.28862,1.81684,0.000539057,0.000539057,0.000539057
28,8225.5,1.34243,1.29487,1.59079,0.69256,0.6731,0.71702,0.37095,1.575,1.2533,1.80824,0.000517059,0.000517059,0.000517059
29,8478.08,1.32954,1.26648,1.57672,0.67032,0.63821,0.6923,0.36042,1.58686,1.24481,1.81253,0.000495062,0.000495062,0.000495062
30,8767.73,1.31161,1.22581,1.56551,0.71158,0.67945,0.70896,0.37334,1.58399,1.19544,1.80281,0.000473064,0.000473064,0.000473064
31,9031.61,1.30603,1.21551,1.55826,0.69999,0.70593,0.70664,0.37602,1.55776,1.22588,1.77849,0.000451066,0.000451066,0.000451066
32,9287.19,1.29371,1.1963,1.5468,0.67167,0.68944,0.72574,0.38385,1.56616,1.22513,1.78799,0.000429068,0.000429068,0.000429068
33,9552.13,1.28383,1.16569,1.53335,0.70966,0.71129,0.72435,0.41085,1.54416,1.1363,1.76826,0.00040707,0.00040707,0.00040707
34,9841.25,1.28071,1.16177,1.5371,0.68705,0.73771,0.74958,0.41124,1.55586,1.09782,1.77732,0.000385073,0.000385073,0.000385073
35,10089,1.2612,1.13015,1.52151,0.79609,0.71199,0.77902,0.4092,1.54992,1.09168,1.76786,0.000363075,0.000363075,0.000363075
36,10349.8,1.24698,1.11004,1.51029,0.74425,0.69755,0.74514,0.4147,1.52194,1.08412,1.73497,0.000341077,0.000341077,0.000341077
37,10674.5,1.25242,1.1006,1.50495,0.80641,0.72185,0.77587,0.41109,1.51285,1.09384,1.71865,0.000319079,0.000319079,0.000319079
38,10952.3,1.23376,1.07024,1.49131,0.77703,0.71782,0.76733,0.4265,1.53143,1.0596,1.74287,0.000297081,0.000297081,0.000297081
39,11264.4,1.21855,1.05354,1.48188,0.80805,0.72819,0.77315,0.43307,1.48807,1.03015,1.70896,0.000275084,0.000275084,0.000275084
40,11517,1.20581,1.02603,1.47181,0.73595,0.72203,0.76205,0.42673,1.52301,1.02016,1.73426,0.000253086,0.000253086,0.000253086
41,11868.8,1.21435,0.84644,1.54496,0.77317,0.74686,0.77595,0.4432,1.45498,1.0056,1.6969,0.000231088,0.000231088,0.000231088
42,12183.6,1.1786,0.79383,1.51639,0.76893,0.73951,0.77046,0.43597,1.47593,0.99911,1.70164,0.00020909,0.00020909,0.00020909
43,12477.7,1.14986,0.76125,1.48982,0.83136,0.73032,0.79408,0.44171,1.47091,0.96082,1.69274,0.000187092,0.000187092,0.000187092
44,12789.4,1.13431,0.73722,1.47187,0.82143,0.7331,0.79544,0.45058,1.4116,0.95278,1.65183,0.000165095,0.000165095,0.000165095
45,13144.3,1.10573,0.71437,1.45254,0.81874,0.74572,0.79578,0.45801,1.40949,0.94677,1.64945,0.000143097,0.000143097,0.000143097
46,13443.8,1.09108,0.69934,1.44127,0.80347,0.75634,0.79119,0.45336,1.42194,0.93899,1.649,0.000121099,0.000121099,0.000121099
47,13754.5,1.06693,0.67878,1.41581,0.87709,0.75303,0.83172,0.4664,1.40902,0.91232,1.64808,9.91012e-05,9.91012e-05,9.91012e-05
48,14079.1,1.06686,0.67993,1.42012,0.81263,0.76741,0.82156,0.46444,1.4151,0.91965,1.63982,7.71034e-05,7.71034e-05,7.71034e-05
49,14455.5,1.04325,0.65637,1.39467,0.81721,0.75945,0.80059,0.46233,1.40847,0.91733,1.64415,5.51056e-05,5.51056e-05,5.51056e-05
50,14779.9,1.03838,0.6487,1.38796,0.82324,0.73823,0.79986,0.46764,1.39732,0.91021,1.63393,3.31078e-05,3.31078e-05,3.31078e-05
